package,referrer,totalRefViews,uniqueRefViews
eddy4R,eol.ucar.edu,2,2
eddy4R,github.com,415,138
eddy4R,Google,50,40
eddy4R,journals-ametsoc-org.libdata.lib.ua.edu,2,2
eddy4R,journals.ametsoc.org,4,4
eddy4R,mail.google.com,9,4
eddy4R,nature.com,13,9
eddy4R,neonscience.org,26,18
eddy4R,preview.neonscience.org,2,2
eddy4R,researchgate.net,1,1
eddy4R,NA,0,0
NEON-dissolved-gas,g.luciaz.me,2,2
NEON-dissolved-gas,github.com,177,73
NEON-dissolved-gas,Google,134,82
NEON-dissolved-gas,NA,0,0
NEON-geolocation,Bing,3,3
NEON-geolocation,ecosia.org,19,7
NEON-geolocation,github.com,270,132
NEON-geolocation,Google,393,205
NEON-geolocation,jsta.rbind.io,10,4
NEON-geolocation,mail.google.com,5,3
NEON-geolocation,neonscience.org,113,63
NEON-geolocation,rdrr.io,6,2
NEON-IS-data-processing,github.com,1711,409
NEON-IS-data-processing,gitmemory.com,6,4
NEON-IS-data-processing,messages.google.com,2,2
NEON-IS-data-processing,onenote.officeapps.live.com,63,27
NEON-Nitrogen-Transformations,DuckDuckGo,2,2
NEON-Nitrogen-Transformations,github.com,68,39
NEON-Nitrogen-Transformations,Google,25,18
NEON-Nitrogen-Transformations,neonscience.org,8,4
NEON-Nitrogen-Transformations,NA,0,0
NEON-reaeration,github.com,61,40
NEON-reaeration,Google,1,1
NEON-reaeration,neonscience.org,1,1
NEON-reaeration,NA,0,0
NEON-stream-discharge,battelleecology.org,2,1
NEON-stream-discharge,cran.r-project.org,122,54
NEON-stream-discharge,DuckDuckGo,7,7
NEON-stream-discharge,github.com,240,99
NEON-stream-discharge,Google,134,58
NEON-stream-discharge,neonscience.org,71,41
NEON-stream-discharge,preview.neonscience.org,2,2
NEON-stream-discharge,rseek.org,2,2
NEON-stream-morphology,github.com,34,26
NEON-stream-morphology,NA,0,0
NEON-utilities,battelleecology.org,8,4
NEON-utilities,Bing,15,9
NEON-utilities,cn.bing.com,8,8
NEON-utilities,cran.r-project.org,312,173
NEON-utilities,cran.rstudio.com,3,1
NEON-utilities,data.neonscience.org,164,115
NEON-utilities,DuckDuckGo,8,7
NEON-utilities,ecosia.org,9,6
NEON-utilities,github.com,1747,597
NEON-utilities,github.nceas.ucsb.edu,2,2
NEON-utilities,Google,488,349
NEON-utilities,html.duckduckgo.com,2,2
NEON-utilities,int-data.neonscience.org,3,3
NEON-utilities,neonscience.org,201,108
NEON-utilities,rdrr.io,11,4
NEON-utilities,t.co,4,4
portal-core-components,basecamp.com,2,2
portal-core-components,data.neonscience.org,15,6
portal-core-components,github.com,211,95
portal-core-components,Google,33,17
portal-core-components,mail.google.com,1,1
